"name","external_donor_name","donor_id","donor_name"
"","565424",1095179604,"VGAT-ChR2-YFP-565424"
"","569920",1095179563,"C57BL6J-569920"
"","569915",1095179536,"C57BL6J-569915"
"","573345",1095151764,"Sst-IRES-Cre;Ai148-573345"
"","573344",1094939306,"Sst-IRES-Cre;Ai148-573344"
"","568751",1094871897,"Th-Cre_FI172-568751"
"","568750",1094871694,"Th-Cre_FI172-568750"
"","566424",1094871482,"Calb2-IRES-Cre-566424"
"","560995",1094866698,"Calb2-IRES-Cre-560995"
"","572917",1094849824,"Ai193(TICL-EGFP-ICF-tdT)-hyg-572917"
"","564626",1094696017,"C57BL6J-564626"
"","564626_",1094695870,"564626_"
"","572259",1094669226,"Vip-IRES-Cre;Ai32-572259"
"","572046",1094635293,"C57BL6J-572046"
"","572045",1094634374,"C57BL6J-572045"
"","572044",1094632609,"C57BL6J-572044"
"","572043",1094632239,"C57BL6J-572043"
"","572260",1094168495,"Vip-IRES-Cre;Ai32-572260"
"","572204",1094167219,"Vip-IRES-Cre;Ai148-572204"
"","569186",1094165985,"Ucma-IRES2-FlpO-569186"
"","565664",1094165979,"Ucma-IRES2-FlpO-565664"
"","572545",1094164187,"Rbp4-Cre_KL100;Camk2a-tTA;Ai93-572545"
"","571771",1094146008,"Sepw1-Cre_NP39-571771"
"","571770",1094146002,"Sepw1-Cre_NP39-571770"
"","571315",1094143248,"Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-571315"
"","572258",1094141630,"Vip-IRES-Cre;Ai32-572258"
"","570836",1094065254,"Rbp4-Cre_KL100;Ai14-570836"
"","577574",1094065168,"Snap25-IRES2-Cre;Ai14-577574"
"","577932",1094064753,"Snap25-IRES2-Cre;Ai14-577932"
"","57083",1094064643,"VGAT-ires-Cre-302"
"","576330",1094064637,"C57BL6J-576330"
"","574984",1094062793,"Vip-IRES-Cre;Sst-IRES-FlpO;Ai193-hyg-574984"
"","574983",1094062781,"Vip-IRES-Cre;Sst-IRES-FlpO;Ai193-hyg-574983"
"","574718",1094062772,"Sst-IRES-Cre;Pvalb-T2A-FlpO;Ai193-hyg-574718"
