donor_id,donor_name,biological_sex,age,full_genotype
331294,Vip-IRES-Cre;Ai14-331294,M,P55,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
331663,Sst-IRES-Cre;Ai14-331663,F,P57,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
331660,Sst-IRES-Cre;Ai14-331660,M,P59,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
331657,Sst-IRES-Cre;Ai14-331657,M,P60,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
336703,Vip-IRES-Cre;Ai14-336703,M,P51,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
336139,Vip-IRES-Cre;Ai14-336139,M,P54,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
337417,Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337417,M,P55,Vipr2-IRES2-Cre/wt;Slc32a1-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt
337416,Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337416,M,P56,Vipr2-IRES2-Cre/wt;Slc32a1-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt
342915,Vip-IRES-Cre;Ai14-342915,M,P47,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
341889,Chat-IRES-Cre-neo;Ai14-341889,F,P54,Chat-IRES-Cre-neo/wt;Ai14(RCL-tdT)/wt
341890,Chat-IRES-Cre-neo;Ai14-341890,F,P55,Chat-IRES-Cre-neo/wt;Ai14(RCL-tdT)/wt
341891,Chat-IRES-Cre-neo;Ai14-341891,F,P56,Chat-IRES-Cre-neo/wt;Ai14(RCL-tdT)/wt
344090,Pvalb-IRES-Cre;Ai14-344090,F,P51,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
346778,Sst-IRES-Cre;Ai14-346778,M,P49,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
